"Date","Price","Open","High","Low","Change %"
"Mar 01, 2021","23,020.0","23,015.0","23,040.0","23,015.0","0.02%"
"Feb 26, 2021","23,015.0","23,022.5","23,027.5","23,007.5","-0.04%"
"Feb 25, 2021","23,025.0","23,030.0","23,030.0","23,015.0","0.02%"
"Feb 24, 2021","23,020.0","23,024.0","23,030.0","23,019.5","-0.02%"
"Feb 23, 2021","23,025.0","23,025.0","23,030.0","23,019.5","0.02%"
"Feb 22, 2021","23,020.0","23,023.5","23,029.0","23,015.0","0.01%"
"Feb 19, 2021","23,018.0","23,017.5","23,024.0","22,987.5","0.01%"
"Feb 18, 2021","23,015.0","23,010.0","23,057.5","23,002.5","0.02%"
"Feb 17, 2021","23,010.0","22,987.5","23,024.0","22,987.5","0.00%"
"Feb 09, 2021","23,010.0","22,952.5","23,015.0","22,952.5","0.17%"
"Feb 08, 2021","22,970.0","22,977.0","23,033.5","22,965.0","-0.13%"
"Feb 05, 2021","23,000.0","23,017.5","23,025.0","22,997.0","-0.07%"
"Feb 04, 2021","23,015.0","23,025.5","23,030.0","23,019.0","-0.02%"
"Feb 03, 2021","23,020.0","23,065.5","23,065.5","23,018.0","-0.03%"
"Feb 02, 2021","23,027.0","23,065.5","23,065.5","23,016.0","-0.08%"
"Feb 01, 2021","23,045.0","23,037.5","23,052.5","23,033.5","-0.01%"
"Jan 29, 2021","23,048.0","23,072.5","23,072.5","23,042.5","-0.05%"
"Jan 28, 2021","23,059.0","23,070.0","23,075.0","23,056.0","-0.04%"
"Jan 27, 2021","23,069.0","23,072.5","23,075.0","23,064.5","0.00%"
"Jan 26, 2021","23,069.0","23,072.5","23,075.0","23,064.5","0.04%"
"Jan 25, 2021","23,060.0","23,070.0","23,077.5","23,065.0","-0.04%"
"Jan 22, 2021","23,070.0","23,072.5","23,081.5","23,041.0","0.04%"
"Jan 21, 2021","23,060.0","23,075.5","23,077.5","23,067.0","-0.05%"
"Jan 20, 2021","23,072.0","23,087.5","23,090.0","23,066.0","0.01%"
"Jan 19, 2021","23,069.0","23,070.5","23,075.0","23,065.0","0.00%"
"Jan 18, 2021","23,069.0","23,100.0","23,100.0","23,063.5","0.02%"
"Jan 15, 2021","23,065.0","23,067.0","23,075.0","23,058.5","0.00%"
